;fecha;texto;retweets;favoritos;hashtags;menciones;localizacion;origen;topic
3;2021-07-07 16:23:03;"[SELO LULA DE QUALIDADE] 🕊 BUSCA PELA PAZ

“A paz se confunde com a própria dignidade humana e dela se alimenta.” E… https://t.co/VCCmPBzvwC";226;1134;[];[];São Paulo;Twitter Web App;felix
4;2021-07-07 19:12:32;"BERRETTINI FA LA STORIA! 😍😍😍

L'azzurro batte in 4 set Félix Auger-Aliassime e conquista la sua prima storica semif… https://t.co/IxyFkdszcS";195;883;[];[];;Twitter Web App;felix
5;2021-07-08 00:37:24;#ULTIMOMINUTO🚨| Pdte. @NicolasMaduro designó como Jefe del Estado Mayor de la Comandancia Estratégica Operacional a… https://t.co/S5isk0ceLv;76;33;['ULTIMOMINUTO'];['NicolasMaduro'];Venezuela;Twitter Web App;felix
6;2021-07-08 00:21:11;#ULTIMOMINUTO🚨 | Pdte. @NicolasMaduro designó como Comandante General del Ejército al M/G Félix Ramón Osorio y como… https://t.co/9J1GpjOrot;148;41;['ULTIMOMINUTO'];['NicolasMaduro'];Venezuela;Twitter Web App;felix
7;2021-07-07 13:00:02;"Sometimes I think I’m never going to write a poem again
and then there’s a full moon.

I miss being in love but I m… https://t.co/4bNoNH2CiD";128;444;[];[];New York, NY;TweetDeck;felix
8;2021-07-07 19:06:26;"💥💥 FE-NO-ME-NA-LE 💥💥

@MattBerrettini supera in quattro set il canadese Felix Auger-Aliassime e conquista la sua pr… https://t.co/ybD78xEr9R";98;514;[];['MattBerrettini'];Piazza Lauro De Bosis 15 Roma;Twitter for iPhone;felix
9;2021-07-08 00:18:21;"Nuevo Alto Mando Militar
Mindefensa Vladimir Padrino
Cmdte CEOFANB D. Hernández Lárez
2do Cmdte COFANB Juan C. Du B… https://t.co/t9TqwgbWre";77;65;[];[];Caracas;Twitter Web App;felix
10;2021-07-08 08:48:28;"#RDC: ""C'est après avoir perdu @moise_katumbi que Joseph Kabila a compris son importance, et nous connaissons tous… https://t.co/wQWK6pg78y";73;482;['RDC'];['moise_katumbi'];  Kinshasa  Washington, DC;Twitter for Android;felix
11;2021-07-07 13:27:35;".@lopezobrador_ y @_LizVilchis engañan al obviar contexto.

Como si dar noticias positivas o negativas de un partid… https://t.co/cqe6HqTyJi";64;198;[];['lopezobrador_', '_LizVilchis'];ÜT: 19.30017,-99.185582;Twitter for iPhone;felix
12;2021-07-07 19:51:24;Momma's going for the gold. 💜👏 Allyson Felix has qualified for her 5th Olympics with her greatest supporter by her… https://t.co/u5MEP1g0A8;48;829;[];[];Hollywood, CA;Dash Hudson;felix
13;2021-07-07 16:54:27;"El partido no es otra cosa que su militancia.
Todas las ideas, lo que hemos puesto en práctica, proviene de la mili… https://t.co/O8cang8Vmn";43;63;[];[];España;Twitter Media Studio - LiveCut;felix
14;2021-07-07 19:07:10;"BERRETTINATOR AVANZA A #WIMBLEDON!

Matteo batte in quattro set Felix Auger-Aliassime e accede alla semifinaleeeeee… https://t.co/TY0AtCjqVN";52;404;['WIMBLEDON'];[];Italia;Twitter for iPhone;felix
15;2021-07-07 15:50:53;"Falleció hoy repentinamente Pablo Peguero, ex pelotero y scout de @Dodgers
 Desde el 2005 era encargado del program… https://t.co/sQlRBdiMIg";38;125;[];['Dodgers'];Orlando, Florida;Twitter Web App;felix
1;2021-07-07 16:48:56;#Peru🇵🇪 La #CIDH expresa su preocupación por el comunicado del Congreso de la República que acuerda continuar con l… https://t.co/LdOCX58p71;2324;4139;['Peru', 'CIDH'];[];Washington, DC;Twitter Web App;República
2;2021-07-08 00:08:26;1. A nota publicada hoje pelo Ministério da Defesa é gravíssima porque as Forças Armadas não são o poder moderador… https://t.co/JWVunOeKhi;3306;26246;[];[];Brasil;Twitter for Android;República
